date,city,driving_waze,state
2020-09-12,Shah Alam,2.0,Selangor
2020-09-13,Shah Alam,6.0,Selangor
2020-09-14,Shah Alam,26.0,Selangor
2020-09-15,Shah Alam,18.0,Selangor
2020-09-16,Shah Alam,0.0,Selangor
2020-09-17,Shah Alam,6.0,Selangor
2020-09-18,Shah Alam,3.0,Selangor
2020-09-19,Shah Alam,-1.0,Selangor
2020-09-20,Shah Alam,2.0,Selangor
2020-09-21,Shah Alam,9.0,Selangor
2020-09-22,Shah Alam,12.0,Selangor
2020-09-23,Shah Alam,0.0,Selangor
2020-09-24,Shah Alam,14.000000000000002,Selangor
2020-09-25,Shah Alam,0.0,Selangor
2020-09-26,Shah Alam,1.0,Selangor
2020-09-27,Shah Alam,14.000000000000002,Selangor
2020-09-28,Shah Alam,10.0,Selangor
2020-09-29,Shah Alam,6.0,Selangor
2020-09-30,Shah Alam,13.0,Selangor
2020-10-01,Shah Alam,0.0,Selangor
2020-10-02,Shah Alam,1.0,Selangor
2020-10-03,Shah Alam,-4.0,Selangor
2020-10-04,Shah Alam,1.0,Selangor
2020-10-05,Shah Alam,4.0,Selangor
2020-10-06,Shah Alam,1.0,Selangor
2020-10-07,Shah Alam,-3.0,Selangor
2020-10-08,Shah Alam,12.0,Selangor
2020-10-09,Shah Alam,-17.0,Selangor
2020-10-10,Shah Alam,-22.0,Selangor
2020-10-11,Shah Alam,-17.0,Selangor
2020-10-12,Shah Alam,-6.0,Selangor
2020-10-13,Shah Alam,10.0,Selangor
2020-10-14,Shah Alam,-31.0,Selangor
2020-10-15,Shah Alam,-42.0,Selangor
2020-10-16,Shah Alam,-39.0,Selangor
2020-10-17,Shah Alam,-53.0,Selangor
2020-10-18,Shah Alam,-57.99999999999999,Selangor
2020-10-19,Shah Alam,-31.0,Selangor
2020-10-20,Shah Alam,-31.0,Selangor
2020-10-21,Shah Alam,-20.0,Selangor
2020-10-22,Shah Alam,-47.0,Selangor
2020-10-23,Shah Alam,-48.0,Selangor
2020-10-24,Shah Alam,-57.99999999999999,Selangor
2020-10-25,Shah Alam,-54.0,Selangor
2020-10-26,Shah Alam,-29.0,Selangor
2020-10-27,Shah Alam,-31.0,Selangor
2020-10-28,Shah Alam,-25.0,Selangor
2020-10-29,Shah Alam,-45.0,Selangor
2020-10-30,Shah Alam,-32.0,Selangor
2020-10-31,Shah Alam,-44.0,Selangor
2020-11-01,Shah Alam,-44.0,Selangor
2020-11-02,Shah Alam,-27.0,Selangor
2020-11-03,Shah Alam,-22.0,Selangor
2020-11-04,Shah Alam,-28.000000000000004,Selangor
2020-11-05,Shah Alam,-32.0,Selangor
2020-11-06,Shah Alam,-35.0,Selangor
2020-11-07,Shah Alam,-40.0,Selangor
2020-11-08,Shah Alam,-34.0,Selangor
2020-11-09,Shah Alam,-25.0,Selangor
2020-11-10,Shah Alam,-22.0,Selangor
2020-11-11,Shah Alam,-24.0,Selangor
2020-11-12,Shah Alam,-26.0,Selangor
2020-11-13,Shah Alam,-29.0,Selangor
2020-11-14,Shah Alam,-46.0,Selangor
2020-11-15,Shah Alam,-46.0,Selangor
2020-11-16,Shah Alam,-21.0,Selangor
2020-11-17,Shah Alam,-21.0,Selangor
2020-11-18,Shah Alam,-22.0,Selangor
2020-11-19,Shah Alam,-24.0,Selangor
2020-11-20,Shah Alam,-22.0,Selangor
2020-11-21,Shah Alam,-34.0,Selangor
2020-11-22,Shah Alam,-45.0,Selangor
2020-11-23,Shah Alam,-22.0,Selangor
2020-11-24,Shah Alam,-23.0,Selangor
2020-11-25,Shah Alam,-20.0,Selangor
2020-11-26,Shah Alam,-26.0,Selangor
2020-11-27,Shah Alam,-28.000000000000004,Selangor
2020-11-28,Shah Alam,-33.0,Selangor
2020-11-29,Shah Alam,-45.0,Selangor
2020-11-30,Shah Alam,-16.0,Selangor
2020-12-01,Shah Alam,-21.0,Selangor
2020-12-02,Shah Alam,-15.0,Selangor
2020-12-03,Shah Alam,-20.0,Selangor
2020-12-04,Shah Alam,-23.0,Selangor
2020-12-05,Shah Alam,-32.0,Selangor
2020-12-06,Shah Alam,-32.0,Selangor
2020-12-07,Shah Alam,-17.0,Selangor
2020-12-08,Shah Alam,-13.0,Selangor
2020-12-09,Shah Alam,-15.0,Selangor
2020-12-10,Shah Alam,-8.0,Selangor
2020-12-11,Shah Alam,-38.0,Selangor
2020-12-12,Shah Alam,-29.0,Selangor
2020-12-13,Shah Alam,-13.0,Selangor
2020-12-14,Shah Alam,-13.0,Selangor
2020-12-15,Shah Alam,-8.0,Selangor
2020-12-16,Shah Alam,-16.0,Selangor
2020-12-17,Shah Alam,-11.0,Selangor
2020-12-18,Shah Alam,-16.0,Selangor
2020-12-19,Shah Alam,-20.0,Selangor
2020-12-20,Shah Alam,-15.0,Selangor
2020-12-21,Shah Alam,-3.0,Selangor
2020-12-22,Shah Alam,-4.0,Selangor
2020-12-23,Shah Alam,-2.0,Selangor
2020-12-24,Shah Alam,3.0,Selangor
2020-12-25,Shah Alam,-33.0,Selangor
2020-12-26,Shah Alam,-29.0,Selangor
2020-12-27,Shah Alam,-5.0,Selangor
2020-12-28,Shah Alam,2.0,Selangor
2020-12-29,Shah Alam,1.0,Selangor
2020-12-30,Shah Alam,2.0,Selangor
2020-12-31,Shah Alam,4.0,Selangor
2021-01-01,Shah Alam,-36.0,Selangor
2021-01-02,Shah Alam,-27.0,Selangor
2021-01-03,Shah Alam,-11.0,Selangor
2021-01-04,Shah Alam,0.0,Selangor
2021-01-05,Shah Alam,-7.000000000000001,Selangor
2021-01-06,Shah Alam,-2.0,Selangor
2021-01-07,Shah Alam,-4.0,Selangor
2021-01-08,Shah Alam,-10.0,Selangor
2021-01-09,Shah Alam,-8.0,Selangor
2021-01-10,Shah Alam,-7.000000000000001,Selangor
2021-01-11,Shah Alam,1.0,Selangor
2021-01-12,Shah Alam,28.000000000000004,Selangor
2021-01-13,Shah Alam,-46.0,Selangor
2021-01-14,Shah Alam,-42.0,Selangor
2021-01-15,Shah Alam,-47.0,Selangor
2021-01-16,Shah Alam,-59.0,Selangor
2021-01-17,Shah Alam,-62.0,Selangor
2021-01-18,Shah Alam,-36.0,Selangor
2021-01-19,Shah Alam,-30.0,Selangor
2021-01-20,Shah Alam,-38.0,Selangor
2021-01-21,Shah Alam,-35.0,Selangor
